,location,name,price,space,latitude,longitude
308,"Lublin, Czuby, Szczytowa","Mieszkanie, 64 m², Lublin",2000.0,64,51.2221594,22.5354982
309,"Lublin, Ponikwoda,  Bazylianówka","68 mkw.Bazylianówka,kompletnie i luksus.urządzone",2000.0,68,51.2625344,22.5769461
310,"Lublin, LSM, Skrzetuskiego","Mieszkanie, 62 m², Lublin",2000.0,62,51.2394001,22.5139101
311,"Lublin, Czuby, Jaspisowa","Mieszkanie, 66 m², Lublin",2000.0,66,-1.0,-1.0
312,"Lublin, Centrum","Mieszkanie, 35 m², Lublin",2000.0,35,52.0339822,23.1192263
313,"Lublin, Czechów, Witolda Chodźki","Mieszkanie, 49 m², Lublin",2000.0,49,51.2640338,22.5625247
314,"Lublin, Bazylianówka, Ignacego Czumy","Mieszkanie, 68 m², Lublin",2000.0,68,51.2721526,22.5785414
315,"Lublin, Śródmieście, Boczna Lubomelskiej","Mieszkanie, 35 m², Lublin",2000.0,35,-1.0,-1.0
316,"Lublin, Świt","Mieszkanie, 69 m², Lublin",2000.0,69,51.2106098,22.6791899
317,"Lublin, Śródmieście","Mieszkanie na wynajem 57m2, Probostwo blisko Um, 2",2000.0,57,51.2472348,22.5555465
318,"Lublin, Wieniawa","Mieszkanie, 45 m², Lublin",2000.0,45,51.2499359,22.5371973
319,"Lublin, Wieniawa",Mieszkanie w ścisłym centrum miasta do wynajęcia.,2000.0,35,51.2499359,22.5371973
320,"Lublin, okol. Uniwersytetu Medycznego",3 pokojowe mieszkanie ul. Północna street Mul 2/3B,2050.0,75,-1.0,-1.0
321,"Lublin, LSM, Pana Balcera","Mieszkanie, 56,50 m², Lublin",2050.0,56.5,51.2375055,22.5242291
322,"Lublin, Rury Wizytkowskie,  Kredowa",Przy Politechnice,2100.0,79,-1.0,-1.0
323,"Lublin, Śródmieście, Konopnicka",*** 2 Pokoje *** Super Lokalizacja *** Centrum ***,2100.0,54.5,51.2438985,22.5552668
324,"Lublin, Centrum",Nowe mieszkanie Centrum For rent 2 pok. 3 maja Mul,2100.0,30,52.0339822,23.1192263
325,"Lublin, Czechów, Rotmistrza Witolda Pileckiego","Mieszkanie, 65,60 m², Lublin",2100.0,65.6,51.2648223,22.5637579
326,"Lublin, Ponikwoda, Czesława Strzeszewskiego","Mieszkanie, 50 m², Lublin",2100.0,50,51.2743457,22.5813175
327,"Lublin, Czechów Dolny","Mieszkanie, 50 m², Lublin",2100.0,50,51.2608333,22.5291667
328,"Lublin, Czechów Górny, Organowa",Mieszkanie blisko Uniwersytetu Medycznego,2100.0,62.5,51.2590656,22.5582694
329,"Lublin, okol. Politechniki","Mieszkanie, 60 m², Lublin",2100.0,60,-1.0,-1.0
330,"Lublin, Helenów","Nowoczesne mieszkanie, 2 pok., Konstantynów",2100.0,42,51.2520789,22.5192132
331,"Lublin, Dziesiąta","Mieszkanie, 120 m², Lublin",2100.0,120,51.2158786,22.5797114
332,"Lublin, Centrum","Mieszkanie, 50 m², Lublin",2100.0,50,52.0339822,23.1192263
333,"Lublin, os. Konopnickiej","Mieszkanie, 58 m², Lublin",2100.0,58,51.2365964,22.5254332
334,"Lublin, Czechów, Szeligowskiego","Mieszkanie, 38 m², Lublin",2100.0,38,51.2672635,22.5583604
335,"Lublin, Rudnik, Dożynkowa","Mieszkanie, 55 m², Lublin",2100.0,55,51.280802,22.6038125
336,"Lublin, Unicka",*Apartament w centrum miasta*,2100.0,53,51.256428,22.575168
337,"Lublin, Czechów Dolny","Mieszkanie, 50 m², Lublin",2100.0,50,51.2608333,22.5291667
338,"Lublin, Botanik",wygodne mieszkanie na wynajem Botanik,2100.0,65,51.267094,22.52233
339,"Lublin, Botanik, Osikowa","Mieszkanie, 90 m², Lublin",2100.0,90,-1.0,-1.0
340,"Lublin, Unicka",*Apartament w centrum miasta*,2100.0,53,51.256428,22.575168
341,"Lublin, Miasteczko Akademickie","2 pokoje na Wieniawie, wysoki standard! 50 mkw!",2100.0,50,51.2466616,22.5423062
342,"Lublin, Czechów Dolny","Mieszkanie, 54 m², Lublin",2150.0,54,51.2608333,22.5291667
343,"Lublin, Czuby",Duże 3 pokojowe mieszkanie do wynajęcia 86 mkw,2150.0,86,51.2285398,22.5209437
344,"Lublin, Centrum","Mieszkanie, 42 m², Lublin",2200.0,42,52.0339822,23.1192263
345,"Lublin, Sławinek, Sielankowa","Mieszkanie, 71 m², Lublin",2200.0,71,51.2501776,22.5193343
346,"Lublin, Kalinowszczyzna","Mieszkanie, 50 m², Lublin",2200.0,50,51.2548082,22.5861517
347,"Lublin, Centrum","Mieszkanie, 36 m², Lublin",2200.0,36,52.0339822,23.1192263
348,"Lublin, Centrum, Niecała",Super Kawalerka w centrum! Niecała for rent Mul Um,2200.0,36,-1.0,-1.0
349,"Lublin, okol. Uniwersytetu Medycznego","Mieszkanie, 54,50 m², Lublin",2200.0,54.5,-1.0,-1.0
350,"Lublin, Centrum",Luksusowe mieszkanie w samym centrum!!!,2200.0,70,52.0339822,23.1192263
